Date (dd/mm/yyyy),CustomerID,PromotionID,Product ID,Sum of Units Sold,Sum of Price Per Unit,Sum of Total Sales,Sum of Discount Percentage,Discount Value,Net Sales
01-10-2022,6,0,P019,2,5999,11998,0,0,11998
01-10-2023,21,0,P028,3,349,1047,0,0,1047
01-10-2023,27,0,P029,2,99,198,0,0,198
01-10-2023,39,0,P006,1,7499,7499,0,0,7499
01-10-2023,49,0,P012,3,2999,8997,0,0,8997
01-10-2023,7,0,P024,2,2799,5598,0,0,5598
01-11-2021,37,0,P027,3,699,2097,0,0,2097
01-11-2021,46,0,P002,3,69999,209997,0,0,209997
01-11-2023,18,0,P002,2,69999,139998,0,0,139998
01-11-2023,28,0,P030,3,399,1197,0,0,1197
01-11-2023,47,0,P003,3,89999,269997,0,0,269997
01-12-2020,29,0,P019,3,5999,17997,0,0,17997
01-12-2020,34,0,P020,1,12999,12999,0,0,12999
01-12-2020,45,0,P012,3,2999,8997,0,0,8997
01-12-2020,8,0,P006,1,7499,7499,0,0,7499
01-12-2021,23,0,P024,3,2799,8397,0,0,8397
01-12-2021,45,0,P025,2,8999,17998,0,0,17998
01-12-2022,20,0,P026,3,5499,16497,0,0,16497
01-12-2022,21,0,P012,1,2999,2999,0,0,2999
01-12-2022,33,0,P023,3,1499,4497,0,0,4497
01-12-2022,43,0,P016,2,24999,49998,0,0,49998
02-01-2020,40,0,P026,2,5499,10998,0,0,10998
02-01-2021,1,0,P011,2,1499,2998,0,0,2998
02-01-2021,8,0,P015,3,8499,25497,0,0,25497
02-01-2022,2,0,P012,1,2999,2999,0,0,2999
02-01-2022,34,0,P002,1,69999,69999,0,0,69999
02-01-2022,38,0,P001,3,79999,239997,0,0,239997
02-01-2022,8,0,P021,3,1299,3897,0,0,3897
02-01-2023,11,0,P021,3,1299,3897,0,0,3897
02-01-2023,27,0,P017,1,10499,10499,0,0,10499
02-01-2023,46,0,P018,1,2299,2299,0,0,2299
02-02-2020,26,0,P023,1,1499,1499,0,0,1499
02-02-2020,36,0,P018,3,2299,6897,0,0,6897
02-02-2020,38,0,P009,3,3499,10497,0,0,10497
02-02-2020,43,0,P020,1,12999,12999,0,0,12999
02-02-2020,48,0,P013,1,15999,15999,0,0,15999
02-02-2022,32,0,P018,1,2299,2299,0,0,2299
02-02-2022,43,0,P030,2,399,798,0,0,798
02-02-2023,25,0,P029,2,99,198,0,0,198
02-02-2023,35,0,P014,3,4999,14997,0,0,14997
02-02-2023,50,0,P005,1,92499,92499,0,0,92499
02-03-2020,30,0,P017,2,10499,20998,0,0,20998
02-03-2021,18,0,P029,1,99,99,0,0,99
02-03-2021,43,0,P005,1,92499,92499,0,0,92499
02-03-2021,45,0,P017,2,10499,20998,0,0,20998
02-03-2021,5,0,P019,2,5999,11998,0,0,11998
02-03-2021,6,0,P029,1,99,99,0,0,99
02-03-2022,21,0,P015,1,8499,8499,0,0,8499
02-03-2022,4,0,P018,3,2299,6897,0,0,6897
02-03-2022,9,0,P016,1,24999,24999,0,0,24999
02-03-2023,26,0,P012,2,2999,5998,0,0,5998
02-03-2023,49,0,P019,3,5999,17997,0,0,17997
02-03-2023,49,0,P028,3,349,1047,0,0,1047
02-04-2020,31,PR001,P001,2,79999,159998,20,31999.6,127998.4
02-04-2020,37,PR001,P009,1,3499,3499,20,699.8,2799.2
02-04-2021,40,PR001,P026,2,5499,10998,20,2199.6,8798.4
02-04-2021,45,PR001,P007,1,6999,6999,20,1399.8,5599.2
02-04-2021,50,PR001,P019,1,5999,5999,20,1199.8,4799.2
02-04-2022,24,PR001,P019,1,5999,5999,20,1199.8,4799.2
02-04-2022,33,PR001,P022,2,1999,3998,20,799.6,3198.4
02-04-2022,33,PR001,P023,1,1499,1499,20,299.8,1199.2
02-04-2023,2,PR001,P013,3,15999,47997,20,9599.4,38397.6
02-04-2023,2,PR001,P020,3,12999,38997,20,7799.4,31197.6
02-04-2023,32,PR001,P026,2,5499,10998,20,2199.6,8798.4
02-04-2023,37,PR001,P002,3,69999,209997,20,41999.4,167997.6
02-05-2020,1,PR001,P020,2,12999,25998,20,5199.6,20798.4
02-05-2020,42,PR001,P023,1,1499,1499,20,299.8,1199.2
02-05-2022,22,PR001,P023,1,1499,1499,20,299.8,1199.2
02-05-2022,39,PR001,P030,3,399,1197,20,239.4,957.6
02-05-2022,50,PR001,P019,2,5999,11998,20,2399.6,9598.4
02-05-2023,32,PR001,P008,2,5499,10998,20,2199.6,8798.4
02-05-2023,43,PR001,P001,1,79999,79999,20,15999.8,63999.2
02-06-2020,1,0,P013,3,15999,47997,0,0,47997
02-06-2020,26,0,P007,1,6999,6999,0,0,6999
02-06-2021,17,0,P003,1,89999,89999,0,0,89999
02-06-2022,4,0,P004,2,64999,129998,0,0,129998
02-06-2023,1,0,P003,2,89999,179998,0,0,179998
02-06-2023,24,0,P021,2,1299,2598,0,0,2598
02-06-2023,49,0,P011,2,1499,2998,0,0,2998
02-07-2020,2,0,P025,2,8999,17998,0,0,17998
02-07-2020,33,0,P007,3,6999,20997,0,0,20997
02-07-2021,20,0,P017,1,10499,10499,0,0,10499
02-07-2022,33,PR004,P019,2,5999,11998,50,5999,5999
02-07-2023,38,PR004,P009,1,3499,3499,50,1749.5,1749.5
02-07-2023,40,PR004,P004,1,64999,64999,50,32499.5,32499.5
02-07-2023,43,PR004,P020,1,12999,12999,50,6499.5,6499.5
02-08-2020,23,0,P028,1,349,349,0,0,349
02-08-2020,31,0,P016,3,24999,74997,0,0,74997
02-08-2020,32,0,P021,1,1299,1299,0,0,1299
02-08-2020,37,0,P006,1,7499,7499,0,0,7499
02-08-2020,4,0,P003,1,89999,89999,0,0,89999
02-08-2021,13,0,P025,2,8999,17998,0,0,17998
02-08-2021,15,0,P008,2,5499,10998,0,0,10998
02-08-2021,20,0,P013,3,15999,47997,0,0,47997
02-08-2022,21,0,P013,2,15999,31998,0,0,31998
02-08-2022,3,0,P006,2,7499,14998,0,0,14998
02-08-2022,9,0,P021,1,1299,1299,0,0,1299
02-08-2023,28,0,P016,2,24999,49998,0,0,49998
02-08-2023,4,0,P002,1,69999,69999,0,0,69999
02-08-2023,49,0,P019,3,5999,17997,0,0,17997
02-09-2020,19,0,P018,3,2299,6897,0,0,6897
02-09-2020,50,0,P011,2,1499,2998,0,0,2998
02-09-2021,21,0,P004,3,64999,194997,0,0,194997
02-09-2022,5,0,P010,3,2199,6597,0,0,6597
02-09-2023,35,0,P022,3,1999,5997,0,0,5997
02-09-2023,36,0,P020,2,12999,25998,0,0,25998
02-09-2023,41,0,P015,1,8499,8499,0,0,8499
02-10-2020,26,0,P001,2,79999,159998,0,0,159998
02-10-2020,8,0,P015,3,8499,25497,0,0,25497
02-10-2021,3,0,P011,3,1499,4497,0,0,4497
02-10-2021,39,0,P008,3,5499,16497,0,0,16497
02-10-2021,7,0,P004,1,64999,64999,0,0,64999
02-10-2022,1,0,P024,3,2799,8397,0,0,8397
02-10-2022,27,0,P022,2,1999,3998,0,0,3998
02-10-2022,46,0,P002,3,69999,209997,0,0,209997
02-10-2023,33,0,P021,3,1299,3897,0,0,3897
02-10-2023,35,0,P028,1,349,349,0,0,349
02-10-2023,9,0,P028,1,349,349,0,0,349
02-11-2020,41,0,P009,2,3499,6998,0,0,6998
02-11-2021,19,0,P021,3,1299,3897,0,0,3897
02-11-2021,25,0,P004,3,64999,194997,0,0,194997
02-11-2021,3,0,P013,1,15999,15999,0,0,15999
02-11-2021,33,0,P009,1,3499,3499,0,0,3499
02-11-2022,3,0,P022,3,1999,5997,0,0,5997
02-11-2022,47,0,P008,2,5499,10998,0,0,10998
02-11-2023,10,0,P027,3,699,2097,0,0,2097
02-11-2023,29,0,P027,3,699,2097,0,0,2097
02-12-2020,10,0,P002,1,69999,69999,0,0,69999
02-12-2020,3,0,P008,1,5499,5499,0,0,5499
02-12-2020,38,0,P008,1,5499,5499,0,0,5499
02-12-2020,49,0,P026,2,5499,10998,0,0,10998
02-12-2021,18,0,P025,1,8999,8999,0,0,8999
02-12-2021,23,0,P021,2,1299,2598,0,0,2598
02-12-2021,24,0,P011,3,1499,4497,0,0,4497
02-12-2022,39,0,P022,3,1999,5997,0,0,5997
02-12-2022,4,0,P001,2,79999,159998,0,0,159998
02-12-2022,45,0,P023,3,1499,4497,0,0,4497
02-12-2022,48,0,P029,3,99,297,0,0,297
02-12-2022,50,0,P017,1,10499,10499,0,0,10499
03-01-2020,31,0,P008,3,5499,16497,0,0,16497
03-01-2020,33,0,P014,1,4999,4999,0,0,4999
03-01-2021,11,0,P002,3,69999,209997,0,0,209997
03-01-2021,20,0,P024,3,2799,8397,0,0,8397
03-01-2021,21,0,P030,1,399,399,0,0,399
03-01-2021,4,0,P022,3,1999,5997,0,0,5997
03-01-2021,44,0,P017,3,10499,31497,0,0,31497
03-01-2022,20,0,P006,2,7499,14998,0,0,14998
03-01-2022,22,0,P027,2,699,1398,0,0,1398
03-01-2023,21,0,P005,3,92499,277497,0,0,277497
03-01-2023,37,0,P010,1,2199,2199,0,0,2199
03-01-2023,45,0,P028,1,349,349,0,0,349
03-01-2023,5,0,P007,2,6999,13998,0,0,13998
03-02-2021,1,0,P015,2,8499,16998,0,0,16998
03-02-2021,23,0,P024,1,2799,2799,0,0,2799
03-02-2021,47,0,P007,2,6999,13998,0,0,13998
03-02-2022,28,0,P020,2,12999,25998,0,0,25998
03-02-2023,19,0,P022,1,1999,1999,0,0,1999
03-02-2023,47,0,P025,1,8999,8999,0,0,8999
03-03-2020,28,0,P009,2,3499,6998,0,0,6998
03-03-2020,47,0,P012,2,2999,5998,0,0,5998
03-03-2020,48,0,P012,2,2999,5998,0,0,5998
03-03-2020,5,0,P011,1,1499,1499,0,0,1499
03-03-2021,21,0,P030,2,399,798,0,0,798
03-03-2021,32,0,P018,1,2299,2299,0,0,2299
03-03-2021,49,0,P022,2,1999,3998,0,0,3998
03-03-2022,20,0,P010,2,2199,4398,0,0,4398
03-03-2022,32,0,P024,2,2799,5598,0,0,5598
03-03-2023,31,0,P006,2,7499,14998,0,0,14998
03-03-2023,34,0,P030,3,399,1197,0,0,1197
03-03-2023,35,0,P006,3,7499,22497,0,0,22497
03-03-2023,43,0,P027,2,699,1398,0,0,1398
03-04-2020,32,PR001,P030,1,399,399,20,79.8,319.2
03-04-2021,36,PR001,P023,1,1499,1499,20,299.8,1199.2
03-04-2021,41,PR001,P001,3,79999,239997,20,47999.4,191997.6
03-04-2021,45,PR001,P025,3,8999,26997,20,5399.4,21597.6
03-04-2022,32,PR001,P008,1,5499,5499,20,1099.8,4399.2
03-04-2022,4,PR001,P006,1,7499,7499,20,1499.8,5999.2
03-04-2022,43,PR001,P007,3,6999,20997,20,4199.4,16797.6
03-04-2023,10,PR001,P019,1,5999,5999,20,1199.8,4799.2
03-04-2023,34,PR001,P025,2,8999,17998,20,3599.6,14398.4
03-05-2020,21,PR001,P030,1,399,399,20,79.8,319.2
03-05-2020,22,PR001,P002,3,69999,209997,20,41999.4,167997.6
03-05-2021,33,PR001,P026,1,5499,5499,20,1099.8,4399.2
03-05-2022,2,PR001,P013,3,15999,47997,20,9599.4,38397.6
03-05-2022,3,PR001,P030,1,399,399,20,79.8,319.2
03-05-2022,30,PR001,P021,3,1299,3897,20,779.4,3117.6
03-05-2022,34,PR001,P011,1,1499,1499,20,299.8,1199.2
03-05-2022,9,PR001,P004,2,64999,129998,20,25999.6,103998.4
03-05-2023,28,PR001,P009,1,3499,3499,20,699.8,2799.2
03-05-2023,39,PR001,P012,1,2999,2999,20,599.8,2399.2
03-05-2023,4,PR001,P029,1,99,99,20,19.8,79.2
03-06-2021,11,0,P003,2,89999,179998,0,0,179998
03-06-2021,21,0,P029,3,99,297,0,0,297
03-06-2021,3,0,P019,1,5999,5999,0,0,5999
03-06-2021,3,0,P024,3,2799,8397,0,0,8397
03-06-2021,44,0,P015,2,8499,16998,0,0,16998
03-06-2021,47,0,P021,2,1299,2598,0,0,2598
03-06-2022,18,0,P016,2,24999,49998,0,0,49998
03-07-2020,12,0,P023,1,1499,1499,0,0,1499
03-07-2020,14,0,P023,3,1499,4497,0,0,4497
03-07-2021,31,PR004,P012,3,2999,8997,50,4498.5,4498.5
03-07-2022,1,PR004,P013,3,15999,47997,50,23998.5,23998.5
03-07-2022,11,PR004,P009,3,3499,10497,50,5248.5,5248.5
03-07-2023,15,0,P013,2,15999,31998,0,0,31998
03-08-2020,42,0,P002,1,69999,69999,0,0,69999
03-08-2021,22,0,P010,3,2199,6597,0,0,6597
03-08-2021,22,0,P024,1,2799,2799,0,0,2799
03-08-2023,25,0,P017,1,10499,10499,0,0,10499
03-08-2023,36,0,P015,3,8499,25497,0,0,25497
03-09-2020,35,0,P003,2,89999,179998,0,0,179998
03-09-2021,1,0,P002,3,69999,209997,0,0,209997
03-09-2021,11,0,P010,3,2199,6597,0,0,6597
03-09-2021,16,0,P020,3,12999,38997,0,0,38997
03-09-2021,17,0,P015,1,8499,8499,0,0,8499
03-09-2021,26,0,P029,2,99,198,0,0,198
03-09-2021,39,0,P023,1,1499,1499,0,0,1499
03-09-2023,10,0,P003,3,89999,269997,0,0,269997
03-09-2023,14,0,P016,1,24999,24999,0,0,24999
03-09-2023,41,0,P003,1,89999,89999,0,0,89999
03-09-2023,42,0,P007,1,6999,6999,0,0,6999
03-09-2023,43,0,P010,1,2199,2199,0,0,2199
03-09-2023,50,0,P030,2,399,798,0,0,798
03-10-2020,2,0,P021,3,1299,3897,0,0,3897
03-10-2020,24,0,P001,3,79999,239997,0,0,239997
03-10-2020,45,0,P022,1,1999,1999,0,0,1999
03-10-2021,12,0,P005,1,92499,92499,0,0,92499
03-10-2021,23,0,P029,2,99,198,0,0,198
03-10-2021,25,0,P015,1,8499,8499,0,0,8499
03-10-2021,44,0,P007,1,6999,6999,0,0,6999
03-10-2022,50,0,P001,1,79999,79999,0,0,79999
03-10-2022,6,0,P007,2,6999,13998,0,0,13998
03-10-2023,13,0,P010,2,2199,4398,0,0,4398
03-10-2023,18,0,P001,1,79999,79999,0,0,79999
03-10-2023,27,0,P014,1,4999,4999,0,0,4999
03-10-2023,9,0,P029,3,99,297,0,0,297
03-11-2020,14,0,P002,1,69999,69999,0,0,69999
03-11-2021,41,0,P014,1,4999,4999,0,0,4999
03-11-2022,22,0,P007,3,6999,20997,0,0,20997
03-11-2022,25,0,P002,3,69999,209997,0,0,209997
03-11-2023,28,0,P016,3,24999,74997,0,0,74997
03-11-2023,30,0,P003,2,89999,179998,0,0,179998
03-12-2020,11,0,P025,3,8999,26997,0,0,26997
03-12-2020,37,0,P012,2,2999,5998,0,0,5998
03-12-2021,25,0,P006,3,7499,22497,0,0,22497
03-12-2021,26,0,P028,1,349,349,0,0,349
03-12-2021,29,0,P021,2,1299,2598,0,0,2598
03-12-2021,31,0,P022,1,1999,1999,0,0,1999
03-12-2022,20,0,P016,2,24999,49998,0,0,49998
03-12-2022,24,0,P015,2,8499,16998,0,0,16998
03-12-2022,33,0,P007,3,6999,20997,0,0,20997
03-12-2022,46,0,P007,3,6999,20997,0,0,20997
03-12-2022,48,0,P012,3,2999,8997,0,0,8997
03-12-2023,17,0,P017,3,10499,31497,0,0,31497
03-12-2023,24,0,P011,2,1499,2998,0,0,2998
03-12-2023,41,0,P005,2,92499,184998,0,0,184998
04-01-2020,34,0,P023,2,1499,2998,0,0,2998
04-01-2020,5,0,P018,3,2299,6897,0,0,6897
04-01-2021,29,0,P029,3,99,297,0,0,297
04-01-2021,49,0,P003,1,89999,89999,0,0,89999
04-01-2022,15,0,P004,3,64999,194997,0,0,194997
04-01-2022,19,0,P022,1,1999,1999,0,0,1999
04-01-2022,9,0,P008,3,5499,16497,0,0,16497
04-02-2020,10,0,P004,2,64999,129998,0,0,129998
04-02-2020,15,0,P021,2,1299,2598,0,0,2598
04-02-2020,27,0,P002,2,69999,139998,0,0,139998
04-02-2020,31,0,P025,2,8999,17998,0,0,17998
04-02-2020,39,0,P030,2,399,798,0,0,798
04-02-2020,50,0,P017,1,10499,10499,0,0,10499
04-02-2020,7,0,P013,1,15999,15999,0,0,15999
04-02-2021,50,0,P020,2,12999,25998,0,0,25998
04-02-2022,1,0,P020,1,12999,12999,0,0,12999
04-02-2022,35,0,P022,3,1999,5997,0,0,5997
04-02-2022,37,0,P018,1,2299,2299,0,0,2299
04-02-2022,5,0,P005,3,92499,277497,0,0,277497
04-02-2023,12,0,P004,2,64999,129998,0,0,129998
04-02-2023,30,0,P014,3,4999,14997,0,0,14997
04-03-2020,45,0,P012,3,2999,8997,0,0,8997
04-03-2021,11,0,P020,3,12999,38997,0,0,38997
04-03-2021,27,0,P001,2,79999,159998,0,0,159998
04-03-2021,38,0,P021,1,1299,1299,0,0,1299
04-03-2022,25,0,P025,2,8999,17998,0,0,17998
04-03-2022,29,0,P007,3,6999,20997,0,0,20997
04-03-2022,34,0,P025,3,8999,26997,0,0,26997
04-04-2020,12,PR001,P007,1,6999,6999,20,1399.8,5599.2
04-04-2021,40,PR001,P006,1,7499,7499,20,1499.8,5999.2
04-04-2022,36,PR001,P020,2,12999,25998,20,5199.6,20798.4
04-04-2022,6,PR001,P029,3,99,297,20,59.4,237.6
04-04-2023,1,PR001,P019,2,5999,11998,20,2399.6,9598.4
04-05-2020,12,PR001,P001,1,79999,79999,20,15999.8,63999.2
04-05-2020,42,PR001,P030,1,399,399,20,79.8,319.2
04-05-2021,30,PR001,P001,3,79999,239997,20,47999.4,191997.6
04-05-2021,31,PR001,P010,3,2199,6597,20,1319.4,5277.6
04-05-2021,4,PR001,P001,3,79999,239997,20,47999.4,191997.6
04-05-2022,15,PR001,P024,3,2799,8397,20,1679.4,6717.6
04-05-2022,30,PR001,P022,3,1999,5997,20,1199.4,4797.6
04-05-2023,19,PR001,P022,3,1999,5997,20,1199.4,4797.6
04-05-2023,30,PR001,P006,3,7499,22497,20,4499.4,17997.6
04-06-2020,24,0,P005,3,92499,277497,0,0,277497
04-06-2021,17,0,P008,1,5499,5499,0,0,5499
04-06-2021,26,0,P001,2,79999,159998,0,0,159998
04-06-2021,34,0,P012,3,2999,8997,0,0,8997
04-06-2021,8,0,P018,1,2299,2299,0,0,2299
04-06-2022,10,0,P030,3,399,1197,0,0,1197
04-06-2022,19,0,P010,2,2199,4398,0,0,4398
04-06-2022,20,0,P001,3,79999,239997,0,0,239997
04-06-2022,21,0,P014,1,4999,4999,0,0,4999
04-06-2022,43,0,P008,1,5499,5499,0,0,5499
04-06-2022,6,0,P026,2,5499,10998,0,0,10998
04-06-2023,20,0,P024,1,2799,2799,0,0,2799
04-06-2023,24,0,P005,1,92499,92499,0,0,92499
04-06-2023,25,0,P013,3,15999,47997,0,0,47997
04-07-2020,22,PR004,P027,1,699,699,50,349.5,349.5
04-07-2020,30,PR004,P018,1,2299,2299,50,1149.5,1149.5
04-07-2020,31,PR004,P018,2,2299,4598,50,2299,2299
04-07-2020,49,PR004,P023,1,1499,1499,50,749.5,749.5
04-07-2020,5,PR004,P018,3,2299,6897,50,3448.5,3448.5
04-07-2020,6,PR004,P019,1,5999,5999,50,2999.5,2999.5
04-07-2021,29,PR004,P022,1,1999,1999,50,999.5,999.5
04-07-2021,36,PR004,P008,3,5499,16497,50,8248.5,8248.5
04-07-2022,4,0,P008,1,5499,5499,0,0,5499
04-07-2023,31,0,P023,2,1499,2998,0,0,2998
04-08-2020,45,0,P025,1,8999,8999,0,0,8999
04-08-2021,37,0,P014,1,4999,4999,0,0,4999
04-08-2022,22,0,P024,1,2799,2799,0,0,2799
04-08-2022,38,0,P016,3,24999,74997,0,0,74997
04-08-2023,30,0,P011,3,1499,4497,0,0,4497
04-08-2023,43,0,P007,3,6999,20997,0,0,20997
04-08-2023,44,0,P014,2,4999,9998,0,0,9998
04-09-2021,34,0,P012,3,2999,8997,0,0,8997
04-09-2022,10,0,P022,1,1999,1999,0,0,1999
04-09-2022,32,0,P027,3,699,2097,0,0,2097
04-09-2022,38,0,P027,2,699,1398,0,0,1398
04-09-2022,4,0,P023,1,1499,1499,0,0,1499
04-09-2023,32,0,P010,3,2199,6597,0,0,6597
04-09-2023,41,0,P025,3,8999,26997,0,0,26997
04-10-2020,12,0,P028,3,349,1047,0,0,1047
04-10-2020,21,0,P018,3,2299,6897,0,0,6897
04-10-2020,23,0,P030,3,399,1197,0,0,1197
04-10-2020,26,0,P017,2,10499,20998,0,0,20998
04-10-2020,36,0,P016,3,24999,74997,0,0,74997
04-10-2021,10,0,P008,2,5499,10998,0,0,10998
04-10-2021,33,0,P013,1,15999,15999,0,0,15999
04-10-2021,34,0,P009,1,3499,3499,0,0,3499
04-10-2021,7,0,P012,2,2999,5998,0,0,5998
04-10-2022,41,0,P011,2,1499,2998,0,0,2998
04-10-2023,12,0,P013,2,15999,31998,0,0,31998
04-11-2020,33,0,P009,2,3499,6998,0,0,6998
04-11-2020,38,0,P014,1,4999,4999,0,0,4999
04-11-2020,39,0,P004,2,64999,129998,0,0,129998
04-11-2020,47,0,P017,2,10499,20998,0,0,20998
04-11-2021,13,0,P028,3,349,1047,0,0,1047
04-11-2022,18,0,P022,1,1999,1999,0,0,1999
04-11-2022,35,0,P014,1,4999,4999,0,0,4999
04-11-2022,44,0,P018,2,2299,4598,0,0,4598
04-11-2022,48,0,P022,2,1999,3998,0,0,3998
04-11-2023,18,0,P017,2,10499,20998,0,0,20998
04-11-2023,43,0,P017,3,10499,31497,0,0,31497
04-11-2023,9,0,P010,2,2199,4398,0,0,4398
